period_start,month,row_type,department,salesperson,kpi_target,actual_revenue,actual_deals,actual_customers,kpi_completion,gap_to_target
2026-03-01,3,employee,BU 1,Consultant 21,300000000.0,125719121.0,4,4,0.4190637366666667,-174280879.0
2026-03-01,3,employee,BU 1,Consultant 22,300000000.0,137873953.0,2,3,0.45957984333333335,-162126047.0
2026-03-01,3,employee,BU 1,Consultant 26,300000000.0,6111111.0,1,1,0.02037037,-293888889.0
2026-03-01,3,employee,BU 2,Consultant 06,500000000.0,172874116.0,1,1,0.345748232,-327125884.0
2026-03-01,3,employee,BU 2,Consultant 14,0.0,23425926.0,1,1,,23425926.0
2026-03-01,3,employee,BU 2,Consultant 15,600000000.0,329323056.0,5,5,0.54887176,-270676944.0
2026-03-01,3,employee,BU 3,Consultant 02,400000000.0,0.0,0,0,0.0,-400000000.0
2026-03-01,3,employee,BU 3,Consultant 12,1000000000.0,1297390728.0,1,1,1.297390728,297390728.0
2026-03-01,3,employee,BU 3,Consultant 20,600000000.0,8775000.0,1,1,0.014625,-591225000.0
2026-03-01,3,employee,BU 3,Consultant 24,400000000.0,0.0,0,0,0.0,-400000000.0
2026-03-01,3,employee,BU HCM,Consultant 04,100000000.0,76963000.0,1,1,0.76963,-23037000.0
2026-03-01,3,employee,BU HCM,Consultant 10,3000000000.0,8942496623.0,4,4,2.9808322076666665,5942496623.0
2026-03-01,3,employee,BU HCM,Consultant 23,100000000.0,9000000.0,1,1,0.09,-91000000.0
2026-03-01,3,employee,TMĐT,Consultant 03,50000000.0,0.0,0,0,0.0,-50000000.0
2026-04-01,4,department_total,BU 1,,4800000000.0,154779334.0,7,7,0.03224569458333333,-4645220666.0
2026-04-01,4,department_total,BU 2,,2800000000.0,50878191.0,1,1,0.0181707825,-2749121809.0
2026-04-01,4,department_total,BU 3,,4000000000.0,1887959698.0,8,7,0.4719899245,-2112040302.0
2026-04-01,4,department_total,BU HCM,,4000000000.0,5387201502.0,4,4,1.3468003755,1387201502.0
2026-04-01,4,department_total,TMĐT,,100000000.0,0.0,0,0,0.0,-100000000.0
2026-04-01,4,employee,BU 1,Consultant 01,800000000.0,59861111.0,2,2,0.07482638875,-740138889.0
2026-04-01,4,employee,BU 1,Consultant 08,800000000.0,3703704.0,1,1,0.00462963,-796296296.0
2026-04-01,4,employee,BU 1,Consultant 19,800000000.0,0.0,0,0,0.0,-800000000.0
2026-04-01,4,employee,BU 1,Consultant 21,800000000.0,66510816.0,1,1,0.08313852,-733489184.0
2026-04-01,4,employee,BU 1,Consultant 22,800000000.0,18703703.0,2,2,0.02337962875,-781296297.0
2026-04-01,4,employee,BU 1,Consultant 25,0.0,6000000.0,1,1,,6000000.0
2026-04-01,4,employee,BU 1,Consultant 26,800000000.0,0.0,0,0,0.0,-800000000.0
2026-04-01,4,employee,BU 2,Consultant 11,600000000.0,50878191.0,1,1,0.084796985,-549121809.0
2026-04-01,4,employee,BU 2,Consultant 14,600000000.0,0.0,0,0,0.0,-600000000.0
2026-04-01,4,employee,BU 2,Consultant 15,800000000.0,0.0,0,0,0.0,-800000000.0
2026-04-01,4,employee,BU 2,Consultant 16,800000000.0,0.0,0,0,0.0,-800000000.0
2026-04-01,4,employee,BU 3,Consultant 02,1000000000.0,0.0,0,0,0.0,-1000000000.0
2026-04-01,4,employee,BU 3,Consultant 12,2600000000.0,1645692300.0,2,1,0.6329585769230769,-954307700.0
2026-04-01,4,employee,BU 3,Consultant 18,400000000.0,6481482.0,2,2,0.016203705,-393518518.0
2026-04-01,4,employee,BU 3,Consultant 20,0.0,220978509.0,2,2,,220978509.0
2026-04-01,4,employee,BU 3,Consultant 24,0.0,14807407.0,2,2,,14807407.0
2026-04-01,4,employee,BU HCM,Consultant 04,500000000.0,247950000.0,2,2,0.4959,-252050000.0
2026-04-01,4,employee,BU HCM,Consultant 10,3000000000.0,5047581502.0,1,1,1.6825271673333333,2047581502.0
2026-04-01,4,employee,BU HCM,Consultant 23,500000000.0,91670000.0,1,1,0.18334,-408330000.0
2026-04-01,4,employee,TMĐT,Consultant 03,100000000.0,0.0,0,0,0.0,-100000000.0
